PaymentData(id=1, limitBalance=20000, sex=2, education=2, marriage=1, age=24, pay0=2, pay2=2, pay3=-1, pay4=-1, pay5=-2, pay6=-2, bill1=3913, bill2=3102, bill3=689, bill4=0, bill5=0, bill6=0, payv1=0, payv2=689, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)PaymentData(id=2, limitBalance=120000, sex=2, education=2, marriage=2, age=26, pay0=-1, pay2=2, pay3=0, pay4=0, pay5=0, pay6=2, bill1=2682, bill2=1725, bill3=2682, bill4=3272, bill5=3455, bill6=3261, payv1=0, payv2=1000, payv3=1000, payv4=1000, payv5=0, payv6=2000, defaultPaymentNextMonth=1)
PaymentData(id=8, limitBalance=100000, sex=2, education=2, marriage=2, age=23, pay0=0, pay2=-1, pay3=-1, pay4=0, pay5=0, pay6=-1, bill1=11876, bill2=380, bill3=601, bill4=221, bill5=-159, bill6=567, payv1=380, payv2=601, payv3=0, payv4=581, payv5=1687, payv6=1542, defaultPaymentNextMonth=0)
PaymentData(id=9, limitBalance=140000, sex=2, education=3, marriage=1, age=28, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=0, bill1=11285, bill2=14096, bill3=12108, bill4=12211, bill5=11793, bill6=3719, payv1=3329, payv2=0, payv3=432, payv4=1000, payv5=1000, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=10, limitBalance=20000, sex=1, education=3, marriage=2, age=35, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-1, pay6=-1, bill1=0, bill2=0, bill3=0, bill4=0, bill5=13007, bill6=13912, payv1=0, payv2=0, payv3=0, payv4=13007, payv5=1122, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=12, limitBalance=260000, sex=2, education=1, marriage=2, age=51, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=2, bill1=12261, bill2=21670, bill3=9966, bill4=8517, bill5=22287, bill6=13668, payv1=21818, payv2=9966, payv3=8583, payv4=22301, payv5=0, payv6=3640, defaultPaymentNextMonth=0)
PaymentData(id=13, limitBalance=630000, sex=2, education=2, marriage=2, age=41, pay0=-1, pay2=0, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=12137, bill2=6500, bill3=6500, bill4=6500, bill5=6500, bill6=2870, payv1=1000, payv2=6500, payv3=6500, payv4=6500, payv5=2870, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=14, limitBalance=70000, sex=1, education=2, marriage=2, age=30, pay0=1, pay2=2, pay3=2, pay4=0, pay5=0, pay6=2, bill1=65802, bill2=67369, bill3=65701, bill4=66782, bill5=36137, bill6=36894, payv1=3200, payv2=0, payv3=3000, payv4=3000, payv5=1500, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=16, limitBalance=50000, sex=2, education=3, marriage=3, age=23, pay0=1, pay2=2, pay3=0, pay4=0, pay5=0, pay6=0, bill1=50614, bill2=29173, bill3=28116, bill4=28771, bill5=29531, bill6=30211, payv1=0, payv2=1500, payv3=1100, payv4=1200, payv5=1300, payv6=1100, defaultPaymentNextMonth=0)
PaymentData(id=17, limitBalance=20000, sex=1, education=1, marriage=2, age=24, pay0=0, pay2=0, pay3=2, pay4=2, pay5=2, pay6=2, bill1=15376, bill2=18010, bill3=17428, bill4=18338, bill5=17905, bill6=19104, payv1=3200, payv2=0, payv3=1500, payv4=0, payv5=1650, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=19, limitBalance=360000, sex=2, education=1, marriage=1, age=49, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=20, limitBalance=180000, sex=2, education=1, marriage=2, age=29, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=22, limitBalance=120000, sex=2, education=2, marriage=1, age=39, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=316, bill2=316, bill3=316, bill4=0, bill5=632, bill6=316, payv1=316, payv2=316, payv3=0, payv4=632, payv5=316, payv6=0, defaultPaymentNextMonth=1)
