PaymentData(id=3, limitBalance=90000, sex=2, education=2, marriage=2, age=34, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=29239, bill2=14027, bill3=13559, bill4=14331, bill5=14948, bill6=15549, payv1=1518, payv2=1500, payv3=1000, payv4=1000, payv5=1000, payv6=5000, defaultPaymentNextMonth=0)PaymentData(id=4, limitBalance=50000, sex=2, education=2, marriage=1, age=37, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=46990, bill2=48233, bill3=49291, bill4=28314, bill5=28959, bill6=29547, payv1=2000, payv2=2019, payv3=1200, payv4=1100, payv5=1069, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=5, limitBalance=50000, sex=1, education=2, marriage=1, age=57, pay0=-1, pay2=0, pay3=-1, pay4=0, pay5=0, pay6=0, bill1=8617, bill2=5670, bill3=35835, bill4=20940, bill5=19146, bill6=19131, payv1=2000, payv2=36681, payv3=10000, payv4=9000, payv5=689, payv6=679, defaultPaymentNextMonth=0)
PaymentData(id=6, limitBalance=50000, sex=1, education=1, marriage=2, age=37, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=64400, bill2=57069, bill3=57608, bill4=19394, bill5=19619, bill6=20024, payv1=2500, payv2=1815, payv3=657, payv4=1000, payv5=1000, payv6=800, defaultPaymentNextMonth=0)
PaymentData(id=7, limitBalance=500000, sex=1, education=1, marriage=2, age=29, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=367965, bill2=412023, bill3=445007, bill4=542653, bill5=483003, bill6=473944, payv1=55000, payv2=40000, payv3=38000, payv4=20239, payv5=13750, payv6=13770, defaultPaymentNextMonth=0)
PaymentData(id=11, limitBalance=200000, sex=2, education=3, marriage=2, age=34, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=-1, bill1=11073, bill2=9787, bill3=5535, bill4=2513, bill5=1828, bill6=3731, payv1=2306, payv2=12, payv3=50, payv4=300, payv5=3738, payv6=66, defaultPaymentNextMonth=0)
PaymentData(id=15, limitBalance=250000, sex=1, education=1, marriage=2, age=29, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=70887, bill2=67060, bill3=63561, bill4=59696, bill5=56875, bill6=55512, payv1=3000, payv2=3000, payv3=3000, payv4=3000, payv5=3000, payv6=3000, defaultPaymentNextMonth=0)
PaymentData(id=18, limitBalance=320000, sex=1, education=1, marriage=1, age=49, pay0=0, pay2=0, pay3=0, pay4=-1, pay5=-1, pay6=-1, bill1=253286, bill2=246536, bill3=194663, bill4=70074, bill5=5856, bill6=195599, payv1=10358, payv2=10000, payv3=75940, payv4=20000, payv5=195599, payv6=50000, defaultPaymentNextMonth=0)
PaymentData(id=21, limitBalance=130000, sex=2, education=3, marriage=2, age=39, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=38358, bill2=27688, bill3=24489, bill4=20616, bill5=11802, bill6=930, payv1=3000, payv2=1537, payv3=1000, payv4=2000, payv5=930, payv6=33764, defaultPaymentNextMonth=0)
PaymentData(id=26, limitBalance=50000, sex=1, education=3, marriage=2, age=23, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=47620, bill2=41810, bill3=36023, bill4=28967, bill5=29829, bill6=30046, payv1=1973, payv2=1426, payv3=1001, payv4=1432, payv5=1062, payv6=997, defaultPaymentNextMonth=0)
PaymentData(id=28, limitBalance=50000, sex=2, education=3, marriage=2, age=30, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=22541, bill2=16138, bill3=17163, bill4=17878, bill5=18931, bill6=19617, payv1=1300, payv2=1300, payv3=1000, payv4=1500, payv5=1000, payv6=1012, defaultPaymentNextMonth=0)
PaymentData(id=32, limitBalance=50000, sex=1, education=2, marriage=2, age=33, pay0=2, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=30518, bill2=29618, bill3=22102, bill4=22734, bill5=23217, bill6=23680, payv1=1718, payv2=1500, payv3=1000, payv4=1000, payv5=1000, payv6=716, defaultPaymentNextMonth=1)
PaymentData(id=33, limitBalance=100000, sex=1, education=1, marriage=2, age=32, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=93036, bill2=84071, bill3=82880, bill4=80958, bill5=78703, bill6=75589, payv1=3023, payv2=3511, payv3=3302, payv4=3204, payv5=3200, payv6=2504, defaultPaymentNextMonth=0)
